Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,83204,77733,160937
5-9,116281,110403,226684
10-14,125193,117781,242974
15-19,124268,116991,241259
20-24,120161,115253,235414
25-29,114389,111699,226088
30-34,111206,111826,223032
35-39,104230,104321,208551
40-44,119941,122883,242824
45-49,112086,1161146,228232
50-54,101316,106584,207900
55-59,84037,90825,174862
60-64,63457,74398,137855
65-69,48948,58630,107578
70-74,31896,38745,70641
75+,29045,44884,73929
Jumlah/Total,1489658,1519102,3008760
,,,
Keterangan,,,
Data Kondisi Semester I 2025,,,