_id,Kecamatan,Jenis Faskes,Penyelenggara Faskes,Nama Faskes
1,Asemrowo,Puskesmas Induk,Pemerintah Kota,Puskesmas Asemrowo
2,Asemrowo,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Tambak Langon
3,Asemrowo,Klinik Pratama,swasta,NAYAKA HUSADA 03
4,Benowo,Apotek,lainnya,KIMIA FARMA BUKIT PALMA
5,Benowo,Rumah Sakit Umum,Pemerintah Kota,RS Umum Daerah Bhakti Dharma Husada
6,Benowo,Puskesmas Induk,Pemerintah Kota,Puskesmas Sememi
7,Benowo,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Kandangan
8,Benowo,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Romo Kalisari
9,Benowo,Rumah Sakit Umum,Swasta,RS Bunda
10,Benowo,Apotek,swasta,KANDANGAN
11,Benowo,Apotek,swasta,K - 96
12,Benowo,Apotek,swasta,VIVA GENERIK KLAKAH REJO
13,Benowo,Apotek,swasta,RENO FARMA
14,Benowo,Apotek,swasta,HAPSARI
15,Benowo,Apotek,swasta,BENOWO APPOTIK
16,Benowo,Apotek,swasta,KUSURI MAINCARE
17,Benowo,Apotek,swasta,Wahyu Buana Medika
18,Benowo,Apotek,swasta,Pahala Bukit Palma
19,Benowo,Klinik Pratama,swasta,KARYA MEDIKA 111
20,Benowo,Klinik Pratama,swasta,DOKTER ANANG SURABAYA
21,Bubutan,Puskesmas Induk,Pemerintah Kota,Puskesmas Gundih
22,Bubutan,Puskesmas Induk,Pemerintah Kota,Puskesmas Tembok Dukuh
23,Bubutan,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Asem Jajar
24,Bubutan,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak IBI Surabaya
25,Bubutan,Apotek,swasta,USAHA
26,Bubutan,Apotek,swasta,KALIBUTUH
27,Bubutan,Apotek,swasta,PRODERMA
28,Bubutan,Apotek,swasta,FILLINA
29,Bubutan,Apotek,swasta,NOVEM
30,Bubutan,Apotek,swasta,MEGA SURYA
31,Bubutan,Apotek,swasta,VIVA APOTEK PURWODADI
32,Bubutan,Toko Obat,swasta,CARREFOUR BUBUTAN
33,Bubutan,Toko Obat,swasta,XING LIN
34,Bubutan,Toko Obat,swasta,Super Indo Apartemen Gunawangsa
35,Bubutan,Klinik Pratama,swasta,Anugerah Karya Medika 102
36,Bubutan,Klinik Pratama,swasta,DON BOSCO
37,Bubutan,Klinik Pratama,swasta,SAMARIA
38,Bubutan,Klinik Pratama,swasta,DERMALOVE SCIENCE OF BEAUTY
39,Bulak,Apotek,lainnya,Kimia Farma Suramadu
40,Bulak,Puskesmas Induk,Pemerintah Kota,Puskesmas Kenjeran
41,Bulak,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Bulak
42,Bulak,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Kedung Cowek
43,Bulak,Apotek,swasta,VIVA APOTEK BULAK SETRO
44,Bulak,Apotek,swasta,BITA MEDIKA
45,Bulak,Apotek,swasta,Efi Barokah
46,Bulak,Toko Obat,swasta,DWIJAYA SENTOSA ABADI
47,Bulak,Klinik Pratama,TNI/POLRI,KENJERAN DISKES LANTAMAL V
48,Bulak,Klinik Pratama,TNI/POLRI,PUSDIKLAT HANUDNAS
49,Darmo,Klinik Pratama,swasta,KIMIA FARMA DARMO
50,Dukuh Pakis,Apotek,lainnya,KIMIA FARMA 52
51,Dukuh Pakis,Klinik Pratama,lainnya,GUNUNGSARI
52,Dukuh Pakis,Puskesmas Induk,Pemerintah Kota,Puskesmas Dukuh Kupang
53,Dukuh Pakis,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Gunungsari
54,Dukuh Pakis,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Pradah Kali Kendal
55,Dukuh Pakis,Apotek,swasta,DUTA FARMA
56,Dukuh Pakis,Apotek,swasta,TIARA
57,Dukuh Pakis,Apotek,swasta,TIARA BUKIT DARMO
58,Dukuh Pakis,Apotek,swasta,ETIKA FARMA
59,Dukuh Pakis,Apotek,swasta,INDAH FARMA
60,Dukuh Pakis,Apotek,swasta,PHARMACARE
61,Dukuh Pakis,Apotek,swasta,E - MEDICA
62,Dukuh Pakis,Apotek,swasta,GUARDIAN SURABAYA CIPUTRA WORLD
63,Dukuh Pakis,Apotek,swasta,K - 24 DUKUH KUPANG
64,Dukuh Pakis,Apotek,swasta,SIAGA FARMA 2
65,Dukuh Pakis,Apotek,swasta,MAHARVA MEDIKA
66,Dukuh Pakis,Apotek,swasta,WATSONS LENMARC
67,Dukuh Pakis,Apotek,swasta,Halomedika Dukuh Pakis
68,Dukuh Pakis,Toko Obat,swasta,HYPERMART CIPUTRA WORLD
69,Dukuh Pakis,Toko Obat,swasta,toko Obat PT. Trans Retail Indonesia Cabang Transmart Carrefour Lenmarc Surabaya
70,Dukuh Pakis,Toko Obat,swasta,Super Indo HR. Muhammad
71,Dukuh Pakis,Klinik Utama,swasta,GIGI SEHAT
72,Dukuh Pakis,Klinik Pratama,swasta,ANUGRAH
73,Dukuh Pakis,Klinik Pratama,swasta,REDEMPTOR MUNDI
74,Dukuh Pakis,Klinik Pratama,swasta,Q - LIFE KLINIK
75,Dukuh Pakis,Klinik Pratama,swasta,TANATA
76,Dukuh Pakis,Klinik Pratama,swasta,ERNADE
77,Dukuh Pakis,Klinik Pratama,swasta,MAHARVA
78,Dukuh Pakis,Klinik Pratama,swasta,DIANDRA
79,Dukuh Pakis,Klinik Pratama,swasta,DERMASTER
80,Dukuh Pakis,Klinik Pratama,swasta,dr. MF
81,Dukuh Pakis,Klinik Pratama,swasta,MEDIKA HOLISTIK
82,Dukuh Pakis,Klinik Pratama,swasta,MAHARVA
83,Dukuh Pakis,Klinik Utama,swasta,GIGI SEHAT
84,Dukuh Pakis,Klinik Utama,swasta,ESTHER
85,Dukuh Pakis,Klinik Utama,swasta,ROYAL CLINIC
86,Dukuh Pakis,Klinik Utama,swasta,PWHC
87,Dukuh Pakis,Klinik Utama,swasta,WIJAYA KUSUMA
88,Dukuh Pakis,Klinik Utama,swasta,DENTALPOINT
89,Dukuh Pakis,Klinik Utama,swasta,PROSPEK
90,Dukuh Pakis,Klinik Utama,swasta,SKINDA DERMATOAESTHETIC CLINIC
91,Dukuh Pakis,Klinik Utama,swasta,REJUVA
92,Dukuh Pakis,Klinik Utama,swasta,PARAHITA DIAGNOSTIC CENTER
93,Dukuh Pakis,Klinik Utama,swasta,FDC
94,Dukuh Pakis,Klinik Utama,swasta,INDENTAL VILLA BUKIT MAS
95,Dukuh Pakis,Rumah Sakit Umum,TNI/POLRI,RS Marinir Ewa Pangalila Gunungsari
96,Gayungan,Apotek,lainnya,KIMIA FARMA KETINTANG
97,Gayungan,Puskesmas Induk,Pemerintah Kota,Puskesmas Gayungan
98,Gayungan,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Dukuh Menanggal
99,Gayungan,Labkesda/GFK,Pemerintah Kota,Labkesda Kota Surabaya
100,Gayungan,Rumah Sakit Khusus,Pemerintah Provinsi,RS Mata Masyarakat Jawa Timur
101,Gayungan,Rumah Sakit Umum,Swasta,RS Bhakti Rahayu
102,Gayungan,Apotek,swasta,DHARMA
103,Gayungan,Apotek,swasta,NEW BINTANG
104,Gayungan,Apotek,swasta,RINDANG FARMA
105,Gayungan,Apotek,swasta,K - 24 MENANGGAL
106,Gayungan,Apotek,swasta,CIKAL
107,Gayungan,Apotek,swasta,PAHALA KETINTANG
108,Gayungan,Apotek,swasta,K - 24 GAYUNGAN
109,Gayungan,Apotek,swasta,MEDSENTRAL
110,Gayungan,Apotek,swasta,TELKOMEDIKA KETINTANG
111,Gayungan,Toko Obat,swasta,BOSTON HEALTH & BEAUTY CITO / HYPERMART CITO
112,Gayungan,Toko Obat,swasta,GUARDIAN ROYAL PLAZA
113,Gayungan,Klinik Pratama,swasta,PONDOK KASIH
114,Gayungan,Klinik Pratama,swasta,ADI HAYATI
115,Gayungan,Klinik Pratama,swasta,YAKES TELKOM
116,Gayungan,Klinik Pratama,swasta,DINA AKUPUNTUR & BEAUTY CARE
117,Gayungan,Klinik Utama,swasta,CITRA MEDICAL CENTRE
118,Gayungan,Klinik Utama,swasta,USADA BUANA
119,Gayungan,Klinik Utama,swasta,HAFIRA SKIN CARE
120,Gayungan,Klinik Utama,swasta,SURYA DIAGNOSA MEDIKA
121,Gayungan,Klinik Utama,swasta,DINA
122,Gayungan,Klinik Utama,swasta,CONFIDENTS DENTAL HOUSE
123,Gayungan,Rumah Sakit Umum,TNI/POLRI,RS Bhayangkara TK II HS. Samsoeri Mertojoso
124,Gayungan,Klinik Pratama,TNI/POLRI,BIDDOKES AHMAD YANI
125,Genteng,Apotek,lainnya,KIMIA FARMA KUSUMA BANGSA
126,Genteng,Apotek,lainnya,KIMIA FARMA UNDAAN
127,Genteng,Puskesmas Induk,Pemerintah Kota,Puskesmas Ketabang
128,Genteng,Puskesmas Induk,Pemerintah Kota,Puskesmas Peneleh
129,Genteng,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Embong Kaliasin
130,Genteng,Rumah Sakit Umum,Swasta,RS Adi Husada Undaan
131,Genteng,Rumah Sakit Khusus,Swasta,RS Mata Undaan
132,Genteng,Apotek,swasta,METRO FARMA
133,Genteng,Apotek,swasta,LISTI FARMA
134,Genteng,Apotek,swasta,PRAYOGI
135,Genteng,Apotek,swasta,TANJUNG
136,Genteng,Apotek,swasta,POLYFARMA
137,Genteng,Apotek,swasta,KUSUMA
138,Genteng,Apotek,swasta,APOTEK HAPPY
139,Genteng,Apotek,swasta,WATSONS PLAZA SURABAYA
140,Genteng,Apotek,swasta,GUARDIAN SURABAYA PLAZA
141,Genteng,Apotek,swasta,GUARDIAN GRAND CITY SURABAYA
142,Genteng,Apotek,swasta,WATSONS GRAND CITY MALL
143,Genteng,Toko Obat,swasta,BAN SENG TONG
144,Genteng,Toko Obat,swasta,SUMBER JAYA
145,Genteng,Toko Obat,swasta,SUPER INDO DELTA PLAZA
146,Genteng,Klinik Pratama,swasta,POLIKLINIK YAYASAN PEGAWAI BANK JATIM
147,Genteng,Klinik Pratama,swasta,Dinas Pendidikan Propinsi Jawa Timur
148,Genteng,Klinik Pratama,swasta,SENTUHAN KASIH BANGSA
149,Genteng,Klinik Pratama,swasta,KARYA MEDIKA 41
150,Genteng,Klinik Pratama,swasta,SKIN INNOVATION
151,Genteng,Klinik Pratama,swasta,GRAHA dr. YANTI
152,Genteng,Klinik Pratama,swasta,MARIA ELIZABETH
153,Genteng,Klinik Pratama,swasta,LAURENT'S
154,Genteng,Klinik Pratama,swasta,ADINA MEDIKA
155,Genteng,Klinik Pratama,swasta,KELUARGA PINTAR
156,Genteng,Klinik Utama,swasta,EAGLES HEAD MEDICAL CENTRE
157,Genteng,Klinik Utama,swasta,KAYOON
158,Genteng,Klinik Utama,swasta,L' VIORS
159,Genteng,Klinik Utama,swasta,PRIMA
160,Genteng,Klinik Utama,swasta,GLENEAGLES
161,Genteng,Klinik Utama,swasta,WIBOWO DENTAL CLINIC
162,Genteng,Klinik Utama,swasta,PADMA BAHTERA
163,Gubeng,Rumah Sakit Khusus,Kementrian Lain,RS Gigi dan Mulut FKG Universitas Airlangga
164,Gubeng,Apotek,lainnya,KIMIA FARMA 35
165,Gubeng,Apotek,lainnya,KIMIA FARMA KALIBOKOR
166,Gubeng,Apotek,lainnya,KIMIA FARMA DHARMAHUSADA
167,Gubeng,Puskesmas Induk,Pemerintah Kota,Puskesmas Mojo
168,Gubeng,Puskesmas Induk,Pemerintah Kota,Puskesmas Pucang Sewu
169,Gubeng,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Baratajaya
170,Gubeng,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Gubeng Klingsingan
171,Gubeng,Klinik Pratama,Pemerintah Kota Surabaya,BNN KOTA SURABAYA
172,Gubeng,Rumah Sakit Khusus,Pemerintah Provinsi,RS Jiwa Menur
173,Gubeng,Rumah Sakit Umum,Swasta,RS Umum Siloam Hospitals Surabaya
174,Gubeng,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Pura Raharja
175,Gubeng,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Ferina
176,Gubeng,Apotek,swasta,ALISA
177,Gubeng,Apotek,swasta,KIMIA FARMA 24
178,Gubeng,Apotek,swasta,AGRIPA
179,Gubeng,Apotek,swasta,SALMA FARMA
180,Gubeng,Apotek,swasta,MARTURIA
181,Gubeng,Apotek,swasta,TRIMAS
182,Gubeng,Apotek,swasta,MENTARI FARMA
183,Gubeng,Apotek,swasta,BHINEKA FARMA
184,Gubeng,Apotek,swasta,ASRI FARMA
185,Gubeng,Apotek,swasta,KALIDAMI FARMA
186,Gubeng,Apotek,swasta,OKTA
187,Gubeng,Apotek,swasta,SURYASARI SEJAHTERA
188,Gubeng,Apotek,swasta,NGAGEL JAYA
189,Gubeng,Apotek,swasta,PEMUDA
190,Gubeng,Apotek,swasta,MULYA HUSADA
191,Gubeng,Apotek,swasta,PUCANG
192,Gubeng,Apotek,swasta,BAWEAN
193,Gubeng,Apotek,swasta,MELIANA
194,Gubeng,Apotek,swasta,DHARMAWANGSA
195,Gubeng,Apotek,swasta,FARMASI AIRLANGGA
196,Gubeng,Apotek,swasta,NGINDEN FARMA
197,Gubeng,Apotek,swasta,TRIJAYA ABADI
198,Gubeng,Apotek,swasta,K - 24 DHARMAHUSADA
199,Gubeng,Apotek,swasta,ALIN FARMA
200,Gubeng,Apotek,swasta,REJEKI
201,Gubeng,Apotek,swasta,K-24 PASAR PUCANG
202,Gubeng,Apotek,swasta,VIARA MED
203,Gubeng,Apotek,swasta,VIVA APOTEK KALIDAMI
204,Gubeng,Apotek,swasta,VIVA APOTEK GUBENG
205,Gubeng,Apotek,swasta,INDOSEHAT
206,Gubeng,Apotek,swasta,BINANGUN
207,Gubeng,Apotek,swasta,KASIH FARMA
208,Gubeng,Apotek,swasta,K-24 JOJORAN
209,Gubeng,Apotek,swasta,E-MEDICA KARANG MENJANGAN
210,Gubeng,Apotek,swasta,PROVITA
211,Gubeng,Apotek,swasta,VIVA APOTEK PUCANG ANOM
212,Gubeng,Apotek,swasta,pucang taman
213,Gubeng,Apotek,swasta,POLARIS
214,Gubeng,Apotek,swasta,TIARA MANYAR
215,Gubeng,Toko Obat,swasta,MERIDIAN
216,Gubeng,Toko Obat,swasta,LION SUPER INDO DHARMAHUSADA
217,Gubeng,Toko Obat,swasta,SIERRA
218,Gubeng,Toko Obat,swasta,TOKO OBAT BONNET SWALAYAN
219,Gubeng,Klinik Pratama,swasta,PLK - UA KAMPUS B UNAIR
220,Gubeng,Klinik Pratama,swasta,dr. J HEALTH AND BEAUTY CLINIC
221,Gubeng,Klinik Pratama,swasta,65 (LXV)
222,Gubeng,Klinik Pratama,swasta,QUALITA MEDIKA
223,Gubeng,Klinik Pratama,swasta,BULAN SABIT MERAH INDONESIA
224,Gubeng,Klinik Pratama,swasta,SARTIKA 36
225,Gubeng,Klinik Pratama,swasta,PRAMESWARI
226,Gubeng,Klinik Pratama,swasta,MITRA MEDICARE
227,Gubeng,Klinik Pratama,swasta,SANTA MARIA TAK BERCELA
228,Gubeng,Klinik Pratama,swasta,AMANINA MEDIKA
229,Gubeng,Klinik Pratama,swasta,KLINIK KERTAJAYA
230,Gubeng,Klinik Pratama,swasta,RUMAH SUNATAN
231,Gubeng,Klinik Pratama,swasta,ESTINE
232,Gubeng,Klinik Pratama,swasta,deLovely
233,Gubeng,Klinik Pratama,swasta,MS GLOW AESTHETIC CLINIC
234,Gubeng,Klinik Pratama,swasta,HOUSE OF DERMALOVE SCIENCE OF BEAUTY
235,Gubeng,Klinik Pratama,swasta,HOUSE OF HEALTHY LIVING CENTER (H2LC)
236,Gubeng,Klinik Pratama,swasta,VIV CLINIC
237,Gubeng,Klinik Pratama,swasta,CANTIK
238,Gubeng,Klinik Pratama,swasta,THE EMDEE SKIN CLINIC
239,Gubeng,Klinik Pratama,swasta,NAAVAGREEN NATURAL SKINCARE
240,Gubeng,Klinik Utama,swasta,ULTRA MEDICA
241,Gubeng,Klinik Utama,swasta,SURABAYA SKIN CENTRE
242,Gubeng,Klinik Utama,swasta,TRITYA
243,Gubeng,Klinik Utama,swasta,NEURON CLINIC
244,Gubeng,Klinik Utama,swasta,KANANI
245,Gubeng,Klinik Utama,swasta,PARAHITA DIAGNOSTIC CENTER
246,Gubeng,Klinik Utama,swasta,MEDICELLE
247,Gubeng,Klinik Utama,swasta,DHARMAHUSADA PRIMER
248,Gubeng,Klinik Utama,swasta,PRAMITA
249,Gubeng,Klinik Utama,swasta,MAKMURI (KHUSUS WANITA & ANAK)
250,Gubeng,Klinik Utama,swasta,DERMAGICAL (KHUSUS WANITA DAN ANAK)
251,Gubeng,Klinik Utama,swasta,INDENTAL
252,Gubeng,Rumah Sakit Umum,TNI/POLRI,RS Ibu dan Anak Bantuan 05.08.05 Surabaya
253,Gunung Anyar,Apotek,lainnya,KIMIA FARMA 22 UPN
254,Gunung Anyar,Puskesmas Induk,Pemerintah Kota,Puskesmas Gunung Anyar
255,Gunung Anyar,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Rungkut Menanggal
256,Gunung Anyar,Apotek,swasta,MARTINA
257,Gunung Anyar,Apotek,swasta,DOA SEHAT
258,Gunung Anyar,Apotek,swasta,CITRA FARMA
259,Gunung Anyar,Apotek,swasta,STAR FARMA
260,Gunung Anyar,Apotek,swasta,PATEN JAYA
261,Gunung Anyar,Apotek,swasta,PURI HUSADA
262,Gunung Anyar,Apotek,swasta,MARGUNA SEHAT
263,Gunung Anyar,Apotek,swasta,KITA
264,Gunung Anyar,Apotek,swasta,A GUNUNG ANYAR
265,Gunung Anyar,Apotek,swasta,VIVA APOTEK RUNGKUT TENGAH
266,Gunung Anyar,Apotek,swasta,JULIA
267,Gunung Anyar,Apotek,swasta,S2
268,Gunung Anyar,Klinik Pratama,swasta,AT - TAUFIQ
269,Gunung Anyar,Klinik Pratama,swasta,KESEJAHTERAAN 11
270,Gunung Anyar,Klinik Pratama,swasta,OPTIMA
271,Gunung Anyar,Klinik Pratama,swasta,PARADISE
272,Gunung Anyar,Klinik Pratama,swasta,SIER
273,Gunung Anyar,Klinik Pratama,swasta,KECANTIKAN NATURA
274,Gunung Anyar,Klinik Pratama,swasta,NURANI JAYA 83
275,Gunung Anyar,Klinik Utama,swasta,OPTIMA
276,Gunung Anyar,Klinik Utama,swasta,ALTAIR POLITEKNIK PELAYARAN SURABAYA
277,Jambangan,Apotek,lainnya,KIMIA FARMA KEBONSARI
278,Jambangan,Puskesmas Induk,Pemerintah Kota,Puskesmas Kebonsari
279,Jambangan,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Jambangan
280,Jambangan,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Karah
281,Jambangan,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Ketintang
282,Jambangan,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Pagesangan
283,Jambangan,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak Cempaka Putih Permata
284,Jambangan,Apotek,swasta,JAMBANGAN
285,Jambangan,Apotek,swasta,KEBONSARI
286,Jambangan,Apotek,swasta,K - 24 KEBONSARI
287,Jambangan,Apotek,swasta,UMI
288,Jambangan,Apotek,swasta,K-24 KARAH
289,Jambangan,Apotek,swasta,ALTHA
290,Jambangan,Apotek,swasta,9 Bintang Farma
291,Jambangan,Klinik Pratama,swasta,ST. VINCENTIUS A PAULO (KARAH)
292,Jambangan,Klinik Pratama,swasta,BK 10
293,Karang Pilang,Klinik Pratama,lainnya,SUTEDI SENAPUTRA
294,Karang Pilang,Puskesmas Induk,Pemerintah Kota,Puskesmas Kedurus
295,Karang Pilang,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Kebraon
296,Karang Pilang,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Warugunung
297,Karang Pilang,Apotek,swasta,PALAPA JAYA
298,Karang Pilang,Apotek,swasta,DERY FARMA
299,Karang Pilang,Apotek,swasta,K 3
300,Karang Pilang,Apotek,swasta,VIVA GENERIK GRIYA KEBRAON
301,Karang Pilang,Apotek,swasta,PUSPASARI KEDURUS
302,Karang Pilang,Apotek,swasta,K24 MASTRIP
303,Karang Pilang,Apotek,swasta,INDERA
304,Karang Pilang,Toko Obat,swasta,LOTTE SHOPPING INDONESIA
305,Karang Pilang,Toko Obat,swasta,SUPER INDO MASTRIP
306,Karang Pilang,Klinik Pratama,swasta,SARTIKA 44
307,Karang Pilang,Klinik Pratama,swasta,PUTRI RAHAYU
308,Karang Pilang,Klinik Pratama,swasta,NAYAKA HUSADA KEBRAON
309,Karang Pilang,Klinik Pratama,swasta,PHC KEBRAON
310,Kenjeran,Puskesmas Induk,Pemerintah Kota,Puskesmas Bulak Banteng
311,Kenjeran,Puskesmas Induk,Pemerintah Kota,Puskesmas Sidotopo Wetan
312,Kenjeran,Puskesmas Induk,Pemerintah Kota,Puskesmas Tambak Wedi
313,Kenjeran,Puskesmas Induk,Pemerintah Kota,Puskesmas Tanah Kali Kedinding
314,Kenjeran,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Tanah Kali Kedinding
315,Kenjeran,Apotek,swasta,NINDYA
316,Kenjeran,Apotek,swasta,ALQI
317,Kenjeran,Apotek,swasta,RAFA FARMA
318,Kenjeran,Apotek,swasta,VIVA APOTEK RANDU INDAH
319,Kenjeran,Apotek,swasta,ADITARA 2
320,Kenjeran,Apotek,swasta,NAHDA FARMA
321,Kenjeran,Apotek,swasta,AMAJING IAN
322,Kenjeran,Apotek,swasta,RAFA FARMA 2
323,Kenjeran,Apotek,swasta,RANDU FARMA
324,Kenjeran,Apotek,swasta,AZZAM FARMA
325,Kenjeran,Apotek,swasta,K-24 POGOT
326,Kenjeran,Apotek,swasta,K - 24 SIDOTOPO WETAN
327,Kenjeran,Apotek,swasta,TANSAH SEHAT FARMA
328,Kenjeran,Apotek,swasta,K-24 KEDINDING LOR
329,Kenjeran,Klinik Pratama,swasta,AL FITHRAH
330,Kenjeran,Klinik Pratama,swasta,WONOSARI
331,Kenjeran,Klinik Utama,swasta,SRI HARTI SOEROSO
332,Krembangan,Puskesmas Induk,Pemerintah Kota,Puskesmas Dupak
333,Krembangan,Puskesmas Induk,Pemerintah Kota,Puskesmas Krembangan Selatan
334,Krembangan,Puskesmas Induk,Pemerintah Kota,Puskesmas Morokrembangan
335,Krembangan,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Krembangan Baru
336,Krembangan,Apotek,swasta,TIGA DUA LIMA
337,Krembangan,Apotek,swasta,ADI FARMA
338,Krembangan,Apotek,swasta,SHERWIN
339,Krembangan,Apotek,swasta,OKKY
340,Krembangan,Apotek,swasta,SIAGA MUSTIKA RAHAYU
341,Krembangan,Apotek,swasta,LAYZA FARMA
342,Krembangan,Klinik Pratama,swasta,RAJAWALI
343,Krembangan,Klinik Pratama,swasta,KELSAPA
344,Krembangan,Klinik Pratama,swasta,SANTA ANNA
345,Krembangan,Klinik Pratama,swasta,NAYAKA HUSADA 01
346,Krembangan,Klinik Pratama,swasta,AL - AZHAR
347,Krembangan,Klinik Utama,swasta,PRAMITA
348,Krembangan,Klinik Utama,swasta,SPEKTRUM
349,Krembangan,Klinik Pratama,TNI/POLRI,POLRESTABES SURABAYA
350,Krembangan,Klinik Pratama,TNI/POLRI,SUBDITKES AAL
351,Krembangan,Klinik Pratama,TNI/POLRI,SATBRIMOB POLDA JATIM
352,Krembangan,Klinik Pratama,TNI/POLRI,SATKES KODIKLATAL
353,Krembangan,Klinik Pratama,TNI/POLRI,BHAYANGKARA M. DAHLAN
354,Lakarsantri,Apotek,lainnya,KIMIA FARMA G WALK
355,Lakarsantri,Apotek,lainnya,KIMIA FARMA 459
356,Lakarsantri,Puskesmas Induk,Pemerintah Kota,Puskesmas Bangkingan
357,Lakarsantri,Puskesmas Induk,Pemerintah Kota,Puskesmas Jeruk
358,Lakarsantri,Puskesmas Induk,Pemerintah Kota,Puskesmas Lidah Kulon
